Station,Code,Date,Time,Campaign,Responsible,Institution,River,Basin,Latitude,Longitude,Latitude Decimal,Longitude Decimal,Average Velocity (m/s),Flow (m3/s),Resistivity (Ohm.cm),Partial Pressure (mm Hg),pH,pH (mV),Specific Conductivity (T ref. 25C) (uS/cm),Salinity (Sal),Temperature (C),Dissolved Oxygen (mg/l O2),Oxygen Saturation (%),Turbidity (NTU),Total Solids (mg/l),Total Dissolved Solids (mg/l),Total Suspended Solids (mg/l),Color (u PtCo),Total Hardness (mg/l CaCO3),Phenolphthalein Alkalinity (mg/l CaCO3),Total Alkalinity (mg/l CaCO3),Chlorides (mg/l Cl-),Sulfates (mg/l SO4),Dissolved Calcium (mg/l Ca),Dissolved Magnesium (mg/l Mg),Dissolved Sodium (mg/l Na),Dissolved Potassium (mg/l K),Total Calcium (mg/l Ca),Total Magnesium (mg/l Mg),Total Sodium (mg/l Na),Total Potassium (mg/l K),Total Phosphorus (mg/l PO4),Dissolved Phosphorus (mg/l PO4),Ammoniacal Nitrogen (mg/l NH4),Nitrite (mg/l NO2),Nitrate (mg/l NO3),Total Kjeldahl Nitrogen (mg/l N),Biochemical Oxygen Demand (mg/l O2),Chemical Oxygen Demand (mg/l O2),Dissolved Organic Carbon (mg/l),Total Coliforms (CFU/100 ml),Fecal Coliforms (CFU/100 ml),Total Coliforms (MPN) (MPN/100 ml),Fecal Coliforms (MPN) (MPN/100 ml),Total Mesophilic Aerobes (CFU/100 ml),Dissolved Bismuth (ug/l Bi),Total Bismuth (ug/l Bi),Dissolved Thallium (ug/l Tl),Total Thallium (ug/l Tl),Dissolved Chromium (ug/l Cr),Dissolved Manganese (ug/l Mn),Dissolved Nickel (ug/l Ni),Dissolved Copper (ug/l Cu),Dissolved Zinc (ug/l Zn),Dissolved Arsenic (ug/l As),Dissolved Cadmium (ug/l Cd),Dissolved Lead (ug/l Pb),Dissolved Silver (ug/l Ag),Dissolved Mercury (ug/l Hg),Dissolved Iron (ug/l Fe),Dissolved Boron (ug/l B),Dissolved Selenium (ug/l Se),Total Chromium (ug/l Cr),Total Manganese (ug/l Mn),Total Nickel (ug/l Ni),Total Copper (ug/l Cu),Total Zinc (ug/l Zn),Total Arsenic (ug/l As),Total Cadmium (ug/l Cd),Total Lead (ug/l Pb),Total Silver (ug/l Ag),Total Mercury (ug/l Hg),Total Iron (ug/l Fe),Total Boron (ug/l B),Total Selenium (ug/l Se),Cyanides (mg/l CN-),Sulfides (mg/l S),Phenols (mg/l C6H6O),Total Hydrocarbons (mg/l),Suspended Thallium (mg/kg Tl),Suspended Selenium (mg/kg Se),Suspended Zinc (mg/kg Zn),Suspended Lead (mg/kg Pb),Suspended Arsenic (mg/kg As),Suspended Bismuth (mg/kg Bi),Suspended Boron (mg/kg B),Suspended Cadmium (mg/kg Cd),Suspended Copper (mg/kg Cu),Suspended Chromium (mg/kg Cr),Suspended Iron (mg/kg Fe),Suspended Manganese (mg/kg Mn),Suspended Nickel (mg/kg Ni),Suspended Silver (mg/kg Ag),data_source,Total Mesophilic Aerobes (MPN) (MPN/100 ml),Suspended Mercury (mg/kg Hg),Fluorides (mg/l F),pH in laboratory,Settleable Solids (ml/l),Total Organic Carbon (mg/l),Total Mesophilic Aerobes (MPN/100 ml),Total Coliforms (MPN/100 ml),Fecal Coliforms (MPN/100 ml)
Tarapaya,BTA-050,2023-12-07,13:35,December 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,19 28 18.64,65 47 39.51,-19.471800000000002,-65.7943,0.876,1,762,115.6,7.732,-49.8,1314,0.6,22.1,4.88,84,319,1180,927,252,14,357.5,0.05,135,87.6,398.9,104.38,15.45,77.58,19.24,109.73,20.66,92.4,22.62,2.8,0.2,22,0.01,1.4,15.54,76,35,NA,202,72,NA,NA,850,5,5,25,25,5,1927,16,16,1015,78,1.8,0.5,2.5,0.25,123,452,2,5,2428,18,61,6445,181,7.3,23,2.5,0.25,19031,567,2,NA,5e-4,NA,0.24,NA,0,21547.62,14.92,408.73,NA,456.35,21.83,178.57,NA,75031.75,1988.1,7.94,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,16,NA,NA,NA
San Antonio - Potosí,BSA-030,2023-12-07,11:20,December 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Aljamayu,Unidad 1,19 34 41.47,65 48 12.26,-19.5782,-65.8034,0.639,1,660,126.6,7.869,-57.2,1516,0.7,20.4,5.5,94.4,456,1299,991,75,30,754.7,0.05,215,97.4,365.2,65.86,16.17,99.01,46.09,71.84,19.11,101.6,46.95,5.3,0.3,55.7,0.01,3.49,16.94,73,176,NA,63300,47000,NA,NA,100,5,5,25,25,5,3130,40,88,2582,26,11.3,0.5,2.5,0.25,522,457,2,5,3982,43,311,31362,221,37.1,104,2.5,0.25,38956,601,2,NA,0.035,NA,0.28,NA,0,383733.33,772.13,2600,NA,1920,344,2973.33,NA,512453.33,11360,40,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,56,NA,NA,NA
Potosí - Naciente río La Ribera,BNR-010,2023-12-07,8:40,December 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,De la Ribera,Unidad 1,"19° 35' 51.41""","65° 43' 52.87""",-19.5976,-65.7314,NA,NA,2890,82.6,7.24,-24.8,342,0.1,9.9,4.42,64.5,1.62,235,297,58,6,138,0.5,90,7.9,89.7,36.72,4.48,14.47,5.57,40.92,4.78,16.87,5.62,0.2,0.2,0.3,0.01,0.66,4.34,2.5,7,NA,30,0,NA,NA,40,5,5,25,25,5,842,0.5,5,25,4,0.25,0.5,2.5,0.25,1972,490,0.5,5,845,0.5,5,25,4,0.25,0.5,2.5,0.25,2186,497,0.5,NA,5e-4,NA,NA,NA,NA,NA,NA,0,NA,120.69,NA,NA,NA,3689.66,51.72,NA,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,6,NA,NA,NA
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2023-12-06,12:15,December 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,NA,19 07 55.90,65 34 11.77,-19.1322,-65.5699,1.603,1,1262,145.9,8.389,-87.8,792,0.3,27.6,5.62,100.9,338,950,655,423,1,378,15,205,7.1,228.4,51.41,57.46,20.73,8.63,58.07,65.58,22.38,11.57,0.8,0.1,0.4,0.01,3.61,5.74,2.5,1,NA,260,30,NA,NA,650,5,5,25,25,5,25,0.5,5,25,0.5,0.25,0.5,2.5,0.25,50,257,0.5,5,287,5,5,25,4,0.25,4,2.5,0.25,10396,368,0.5,NA,0.001,0.049,0.019,NA,NA,NA,NA,9.46,NA,262.41,NA,NA,NA,24576.83,678.49,11.82,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,1,NA,NA,NA
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2023-12-06,10:45,December 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,NA,19 07 56.34,65 34 19.25,-19.1323,-65.572,1.66,16,1234,149.8,8.33,-82.8,811,0.3,19.8,6.6,101.5,1650,4599,591,3281,24,216,0.05,125,87.9,138.4,50.39,15.96,74.54,15.35,86.5,38.82,86.13,19.11,0.9,0.3,2,0.31,7.78,5.04,3,6,NA,720,400,NA,NA,150,5,5,25,25,5,25,0.5,5,25,15,0.25,0.5,2.5,0.25,50,1059,0.5,58,2807,63,81,1388,105,2.1,88,2.5,0.25,119988,1090,0.5,NA,0.002,0.055,0.019,NA,NA,423.04,22.14,27.43,NA,9.45,0.64,24.69,17.68,36570.56,855.53,19.2,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,6,NA,NA,NA
Palca Grande,BPG-110,2023-12-05,15:40,December 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tumusla,Unidad 4,20 44 32.13,65 14 27.10,-20.7423,-65.2409,1.793,35,2651,134.05,7.87,-58.3,754,0.3,24.1,5.48,87.5,1650,51896,741,39096,37,310,0.05,125,29.9,248.9,57.93,37.59,41.33,9.35,98.17,97.21,47.67,17.77,13.3,0.2,0.2,0.06,8.88,11.34,47,63,NA,420,28,NA,NA,120,5,12,25,25,5,25,2,5,25,2,0.25,0.5,2.5,0.25,50,1194,1,404,18778,405,355,2717,187,3.2,429,2.5,0.6,1222940,1528,12,NA,5e-4,0.042,0.019,NA,0.28,69.5,10.73,4.73,0.31,8.54,0.08,9.08,10.33,31280.44,480.3,10.31,NA,water_2023_clean.xlsx,NA,0.02,NA,NA,NA,24,NA,NA,NA
El Puente,BEP-100,2023-12-05,13:10,December 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,San Juan del Oro,Unidad 5,21 14 21.62,65 12 32.84,-21.2393,-65.2091,NA,NA,738,19.2,7.63,-45,1354,0.6,22.7,0.81,12.5,1650,131004,1343,87656,33,564.8,0.05,180,62.7,546.4,120.76,55.63,85.75,10.06,380.4,280.5,112.3,26.68,9.8,0.3,0.17,0.19,8.27,15.54,62,82,NA,120,20,NA,NA,420,5,38,25,25,5,886,4,5,25,5,0.25,1,2.5,0.25,737,3180,1,2421,67173,2755,2457,18462,1438,27.7,4050,12,5.5,2680340,6200,54,NA,0.004,0.058,0.019,NA,0.6,210.62,46.09,16.35,0.43,34.45,0.32,28.03,27.62,30569.53,756.22,31.38,0.14,water_2023_clean.xlsx,NA,0.06,NA,NA,NA,29,NA,NA,NA
San Josecito,BSJ-130,2023-12-04,18:15,December 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilaya,Unidad 6,21 09 05.33,64 14 17.85,-21.1515,-64.2383,NA,NA,1672,183.8,8.07,-69.3,598,0.2,24.4,7.47,98.8,1650,1429,179,1223,119,243.2,NA,68.7,23.7,194.8,53.1,26.5,34,4.49,106.6,49.9,36.1,10.3,0.25,0.15,0.75,0.005,6,4.48,18.3,25,NA,NA,NA,NA,NA,72000000,5,5,25,25,5,25,1,5,25,2,0.25,0.5,2.5,0.25,50,1023,2,228,12839,235,171,1128,86,3.8,263,2.5,0.25,426732,1200,8,0.01,0.5,0.04,0.019,NA,4.91,922.32,211.37,68.68,NA,144.73,3.11,139.82,186.43,348922.32,10497.96,191.33,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,4600000,280000
Puente Aruma - Automática,BPA-140,2023-12-04,11:00,December 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 7,20 54 50.36,64 06 38.10,-20.914,-64.1106,NA,NA,2020,142,7.8,-53.6,484,0.2,23.4,5.88,74.3,1650,1205,180,1045,117,179.4,NA,74.9,33.9,155.7,44.74,16.2,30.9,4.42,76.42,33.2,36.2,8.9,0.4,0.12,0.61,0.005,5.4,11.3,18.2,29,NA,NA,NA,NA,NA,480000000,5,5,25,25,5,25,0.5,5,25,2,0.25,0.5,2.5,0.25,50,497,2,371,29014,319,240,1373,118,4.6,302,2.5,1.5,709199,689,12,0.01,0.5,0.047,0.019,NA,9.57,1313.88,284.77,111,NA,183.73,4.4,229.67,355.02,678659.33,27764.59,305.26,NA,water_2023_clean.xlsx,NA,1.44,NA,NA,NA,NA,NA,11000000,200000
Villamontes,BVI-150,2023-12-03,13:30,December 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 7,21 15 32.23,63 30 41.79,-21.259,-63.5116,1.116,130,1352,188.6,7.78,-53.75,740,0.3,29.4,7.06,98.2,1650,2203,227,1934,110,199.1,NA,84.3,92.5,101.4,53.49,15.7,56.8,5.23,64.12,21.8,59.4,6.73,0.28,0.15,0.68,0.005,1.6,8.96,23.3,27,NA,NA,NA,NA,NA,57000000,5,5,25,25,5,25,0.5,5,25,2,0.25,0.5,2.5,0.25,152,382,0.5,91,3979,113,98,534,53,1.6,112,2.5,0.7,188369,756,0.5,0.01,0.5,0.064,0.019,NA,NA,276.11,55.21,26.37,NA,193.38,0.83,50.67,47.05,97320.06,2057.39,58.43,NA,water_2023_clean.xlsx,NA,0.36,NA,NA,NA,NA,NA,150000,7000
Misión La Paz - SNIH,AML-170,2023-12-03,7:05,December 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Cuenca Baja,22 22 40.64,62 31 06.70,-22.378,-62.5185,1.391,120,1100,99.8,7.61,-44.1,908,0.4,29.4,3.75,51,1650,2228,230,1956,114,309.9,NA,107.4,73.6,199.5,74.97,29.4,54.7,6.31,145.1,53.3,57.8,12.5,0.18,0.12,0.68,1,3.7,5.07,22.3,62,NA,NA,NA,NA,NA,6300000,5,10,25,25,5,25,1,5,25,2,0.25,0.5,2.5,0.25,50,1137,3,302,19617,263,207,1019,131,2.9,292,2.5,0.25,756539,1189,11,0.01,0.5,0.052,0.019,NA,4.09,520.96,146.06,65.95,5.11,26.58,1.48,105.83,154.4,386778.63,10029.14,133.95,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,460000,9000
General Bruguez,PGB-250,2023-11-21,14:40,November 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Chaco Paraguayo,"24° 44' 53.92""","58° 49' 59.06""",-24.7483,-58.8331,NA,NA,22.8,307,8.4,-91.4,43800,28.2,32.5,11,155.2,5.96,28260.4,28200,60.4,75,4500,108.9,584.1,8347.01,11044.7,1142.3,316.2,9122.02,28.8,1202.4,364.8,9147.42,28.8,3.07,0.79,0.129,0.008,0.137,0.211,3.6,557.43,NA,23520,2240,NA,NA,370,5,5,25,25,5,92,0.5,5,25,6,0.25,0.5,2.5,0.25,50,6494,15,5,105,7,5,25,7,0.25,0.5,2.5,0.25,101,7392,25,NA,5e-4,5e-4,0.25,NA,165.56,NA,NA,16.56,NA,14867.55,NA,NA,NA,1672.19,215.23,115.89,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruta 11,AR11-290,2023-11-21,10:20,November 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Montelindo,NA,"25° 47' 18.17""","58° 1' 17.23""",-25.7884,-58.0215,NA,NA,321,265,8.44,-95.2,3131,1.61,30.2,9.73,131.9,70.9,2136.3,2010,126.3,125,425,19.8,237.6,447.16,845.31,120.2,24.3,612.78,15.88,120.2,30.4,657.06,16.06,3.07,0.535,0.098,0.012,0.106,0.223,7.7,87.29,NA,27000,1800,NA,NA,2230,5,5,25,25,5,156,0.5,5,25,8,0.25,0.5,2.5,0.25,50,1254,0.5,5,519,0.5,5,25,9,0.25,2,2.5,0.25,2115,1271,0.5,NA,5e-4,5e-4,0.25,NA,NA,NA,NA,7.92,NA,134.6,NA,NA,NA,16745.84,2874.11,NA,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clorinda,ACL-310,2023-11-21,8:55,November 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Porteño,El Porteño,"25° 15' 55.50""","57° 43' 43.49""",-25.2654,-57.7287,NA,NA,430,146,7.87,-59.6,2330,1.2,27.9,5.61,72.2,72.8,1589.7,1498,91.7,100,325,3.96,138.6,278.23,795.89,100.2,12.1,459.1,10.08,110.2,12.2,471.32,11.13,1.58,0.418,0.106,0.073,0.204,0.216,8.8,44.41,NA,35340,2850,NA,NA,720,5,5,25,25,5,25,0.5,5,25,8,0.25,0.5,2.5,0.25,50,1265,0.5,5,63,0.5,5,25,8,0.25,2,2.5,0.25,2582,1310,0.5,NA,5e-4,5e-4,0.25,NA,NA,NA,NA,0,NA,490.73,NA,NA,NA,28157.03,687.02,NA,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salida Laguna Salada,ASL-270,2023-11-20,8:20,November 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Salada,NA,24 41 46.6,59 49 02.93,-24.6963,-59.8175,NA,NA,240,175,8.48,-94.25,4185,2.2,26.1,6.95,87,131,2929,2790,139,100,570,23.76,243.54,586.29,1313.03,100.2,61,683.2,7.37,120.2,65.6,684.75,8.75,0.71,0.22,0.142,0.09,0.089,0.302,14.7,122.25,NA,25870,4310,NA,NA,9360,5,5,25,25,5,25,2,5,25,8,0.25,0.5,2.5,0.25,50,3120,1,5,341,4,5,25,9,0.25,2,2.5,0.25,3027,3122,3,NA,5e-4,5e-4,0.25,NA,14.39,NA,NA,7.19,NA,14.39,NA,NA,NA,21776.98,2453.24,14.39,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruta 28-Vertedero,AR28-300,2023-11-19,15:40,November 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,La Estrella,Bañado La Estrella,"24° 24' 31.28""","60° 20' 04.6""",-24.4087,-60.3346,NA,NA,781,156.1,8.04,-69.55,1281.5,0.6,27.6,6.04,78.2,20.2,877.2,851,26.2,125,390,3.96,223.74,149.05,237.11,80.2,31.6,119.08,5.73,90.2,40.1,119.88,6.24,0.5,0.077,0.129,0.15,0.558,0.4,11.2,98.01,NA,2303840,7390,NA,NA,110000,5,5,25,25,5,25,0.5,5,25,7,0.25,0.5,2.5,0.25,50,1286,2,5,79,1,5,25,7,0.25,0.5,2.5,0.25,505,1435,2,NA,5e-4,5e-4,0.25,NA,0,NA,NA,0,NA,5687.02,NA,NA,NA,19274.81,3015.27,38.17,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Potrillo,AEP-180,2023-11-19,9:50,November 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,La Estrella,Bañado La Estrella,"23° 08' 17.51""","61° 57' 50.26""",-23.1382,-61.964,NA,NA,725,154.9,7.68,-48.3,1380,0.6,27.1,6.03,77.8,1650,6282.8,941,5341.8,100,350,0,112.86,155.02,460.46,100.2,8.51,150.37,7.93,110.2,18.2,154.49,8.91,0.64,0.127,0.837,0.45,22.975,3.66,9.7,67.38,NA,22300,3940,NA,NA,6000,5,11,25,25,5,25,1,5,25,2,0.25,0.5,2.5,0.25,50,753,2,530,20989,414,393,2416,171,2.4,473,2.5,0.25,1361170,961,15,NA,5e-4,5e-4,0.25,NA,2.43,452.28,87.06,31.64,2.06,38.94,0.45,73.57,99.22,254814.11,3929.2,77.31,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puente Loyola,APL-320,2023-11-16,13:35,November 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Cuenca Paraguay,"25° 15' 50.99""","57° 43' 27.63""",-25.2642,-57.7243,NA,NA,319,138.1,7.55,-40.15,3135,1.6,30.8,5.07,69.3,32.07,2149.7,2130,19.7,100,255,0,160.38,604.16,530.34,98.2,1.22,489.94,7.19,100.2,1.22,523.94,7.84,1.94,0.572,2.782,0.105,0.505,3.23,5.4,98.01,NA,88160,11600,NA,NA,1760,5,5,25,25,5,501,0.5,5,25,6,0.25,0.5,2.5,0.25,50,718,0.5,5,507,0.5,5,25,7,0.25,1,2.5,0.25,1097,1760,0.5,NA,5e-4,5e-4,0.25,NA,NA,NA,NA,50.76,NA,52893.4,NA,NA,NA,55685.28,304.57,NA,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Villa Hayes,PVH-280,2023-11-16,12:15,November 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Confuso,NA,"25° 06' 26.93""","57° 32' 47.95""",-25.1075,-57.5467,NA,NA,1999.5,38,6.67,11.6,500,0.2,30.8,1.42,19.2,46.2,369.8,341,28.8,350,70,0,39.6,83.47,24.57,20,4.13,64.83,7.95,20.8,4.37,65.57,9.08,1.17,0.316,0.099,0.2,1.611,0.162,2.4,235.84,NA,10980,3600,NA,NA,1540,5,5,25,25,5,391,2,5,25,5,0.25,0.5,2.5,0.25,1005,143,0.5,5,411,9,5,25,6,0.25,2,2.5,0.25,3501,202,0.5,NA,5e-4,5e-4,0.25,NA,NA,NA,NA,34.72,NA,2048.61,NA,NA,NA,86666.67,694.44,243.06,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Misión La Paz - SNIH,AML-170,2023-11-14,7:00,November 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Cuenca Baja,"22° 22' 41.07""","62° 31' 06.84""",-22.3781,-62.5186,1.27,78,780,127.4,7.82,-54.1,1284,0.6,22.9,5.33,64.2,1650,11677.1,780,10897.1,50,400,0,120.78,129.18,478.88,132.3,10.7,158.14,8.62,136.3,14.6,160.78,9.25,2.96,0.149,0.155,0.2,10.536,0.69,5.8,581.93,NA,54720,6080,NA,NA,34780,5,5,25,25,5,25,2,5,25,2,0.25,0.5,2.5,0.25,50,919,1,468,23012,379,344,1379,162,3.2,443,2.5,0.8,929668,938,16,NA,0.002,0.002,0.25,NA,1.38,126.55,39.86,14.68,NA,1.74,0.29,31.57,42.95,85313.34,2111.75,34.6,NA,water_2023_clean.xlsx,NA,0.07,NA,NA,NA,NA,NA,NA,NA
María Cristina,AMC-190,2023-11-13,7:10,November 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,La Estrella,Bañado La Estrella,"22° 41' 48.90""","62° 11' 48.64""",-22.6969,-62.1968,NA,NA,555,188.7,8.61,-99.8,1802,0.9,26.6,7.38,95.3,236.8,1266.7,1080,186.7,60,400,15.84,124.74,789.75,441.44,140.3,5.35,520.14,7.58,144.3,9.73,195.35,7.93,0.4,0.08,0.089,0.103,11.2,0.11,3.2,193.37,NA,NA,NA,NA,NA,NA,5,5,25,25,5,25,0.5,5,25,5,0.25,0.5,2.5,0.25,50,1267,2,10,67,5,5,25,5,0.25,4,2.5,0.25,3637,1272,2,NA,5e-4,5e-4,0.25,NA,0,NA,NA,0,NA,26.78,NA,NA,53.56,19480.45,358.86,26.78,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talula - Automática,BTL-119,2023-10-20,10:15,October 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 1,"19° 7' 51.11""","65° 27' 2.03""",-19.1309,-65.4506,NA,NA,1186,151.7,8.2,-77.1,842,0.4,16.4,7.13,99.2,1650,11747,555,9600,NA,252,0.05,115,96.7,185.9,53.68,23.77,79.45,11.41,76.79,34.53,132.5,30.24,NA,NA,NA,0.01,8.88,NA,33,45,NA,NA,NA,NA,NA,NA,5,5,25,25,5,242,2,5,25,12,3.4,0.5,2.5,0.25,50,814,0.5,230,10839,209,334,4981,360,15.1,416,2.5,0.25,647318,1667,12,NA,5e-4,NA,NA,NA,1.25,518.85,42.14,36.25,NA,88.85,1.22,34.79,23.96,67428.96,1103.85,21.56,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Viña Quemada,BVQ-122,2023-10-19,11:15,October 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 2,"19° 24.' 26.85""","64° 51' 48.9""",-19.4075,-64.8636,0.697,16,653,130.7,7.897,-60.9,1531,0.8,20.2,5.71,80.3,1650,2550,1268,1233,NA,436,0.05,145,133,482,59.07,99.74,132.5,10.44,71,102.35,156,22.95,NA,NA,NA,NA,8.3,NA,2.5,4,NA,NA,NA,NA,NA,NA,5,5,25,25,5,81,3,5,25,5,0.25,0.5,2.5,0.25,50,666,0.5,107,3640,93,114,1400,75,3.9,106,2.5,0.25,159777,1245,4,NA,5e-4,NA,NA,NA,3.24,1135.44,77.5,56.77,NA,469.59,3.16,92.46,86.78,129583.94,2886.46,72.99,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colavi - Canutillos,BC7-113,2023-10-18,14:10,October 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,"19° 19' 17.1""","65° 33' 7.0""",-19.3214,-65.5519,0.221,0,3470,136.35,4.31,150.6,326,0.1,14.8,6.6,101.2,59.7,259,204,24,NA,150,0.05,15,5.2,109.4,25.73,18.2,1.03,1.39,28.43,21.43,1.8,1.78,NA,NA,NA,NA,3.98,NA,2.5,1,NA,NA,NA,NA,NA,NA,5,5,25,25,5,3590,20,499,860,0.5,4,0.5,2.5,0.25,1149,25,0.5,5,3923,24,506,1088,4,16.4,2,2.5,0.25,10578,123,0.5,NA,5e-4,NA,NA,NA,NA,9500,25.42,166.67,NA,5125,516.67,291.67,NA,392875,13875,166.67,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tarapaya,BTA-050,2023-10-18,8:35,October 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,"19° 28' 18.77""","65° 47' 39.52""",-19.4719,-65.7943,0.353,0,772,126.3,8.06,-68.1,1295,0.6,12.2,6.46,89.8,205.3,904,700,161,NA,302,0.05,220,95.4,290,68.21,46.44,99.45,21.25,79.63,47.45,120.75,39.83,NA,NA,NA,NA,7.17,NA,54,75,NA,NA,NA,NA,NA,NA,5,5,25,25,5,777,8,5,1166,28,0.6,0.5,2.5,0.25,803,397,0.5,5,1131,10,108,3950,182,10.7,44,2.5,0.25,10458,462,2,NA,5e-4,NA,NA,NA,12.42,17291.93,141.3,956.52,NA,403.73,62.73,670.81,NA,59968.94,2198.76,12.42,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
