OBJECTID,ORIG_FID,index,elev,smoothed_elev,distance_m,smoothed_slope
373,1,373,2733,2735.189284735473,37300,-0.0036424646353589198
374,1,374,2733,2734.8241166823395,37400,-0.003651680531334023
375,1,375,2731,2734.4580774938145,37500,-0.003660391885250647
376,1,376,2731,2734.0912176241004,37600,-0.003668598697140624
377,1,377,2731,2733.7235875274027,37700,-0.003676300966976669
378,1,378,2732,2733.3552376579264,37800,-0.0036834986947633297
379,1,379,2730,2732.9862184698754,37900,-0.003690191880509701
380,1,380,2730,2732.6165804174543,38000,-0.0036963805242112356
381,1,381,2730,2732.2463739548675,38100,-0.0037020646258679336
382,1,382,2729,2731.87564953632,38200,-0.003707244185475247
383,1,383,2730,2731.5044576160144,38300,-0.0037119192030559134
384,1,384,2729,2731.132848648157,38400,-0.003716089678573553
385,1,385,2731,2730.760873086952,38500,-0.0037197556120509034
386,1,386,2730,2730.3885813866036,38600,-0.0037229170034834167
387,1,387,2729,2730.0160240013165,38700,-0.0037255738528710934
388,1,388,2729,2729.643251385294,38800,-0.003727726160223028
389,1,389,2729,2729.2703139927426,38900,-0.0037293739255164836
390,1,390,2726,2728.8972622778656,39000,-0.00373051714876965
391,1,391,2725,2728.5241466948664,39100,-0.0037311558299916213
392,1,392,2726,2728.151017697952,39200,-0.0037312899691460187
393,1,393,2726,2727.777925741325,39300,-0.0037309195662692217
394,1,394,2728,2727.4049212791897,39400,-0.0037300446213521356
395,1,395,2727,2727.0320547657516,39500,-0.0037286651343811173
396,1,396,2727,2726.6593766552146,39600,-0.00372678110536981
397,1,397,2726,2726.2869374017837,39700,-0.0037243925343091178
398,1,398,2726,2725.914787459663,39800,-0.0037214994212081366
399,1,399,2726,2725.5429772830566,39900,-0.0037181017660623183
400,1,400,2725,2725.1715573261704,40000,-0.0037141995688625682
401,1,401,2725,2724.8005780432068,40100,-0.0037097928296361713
402,1,402,2725,2724.4300898883716,40200,-0.0037048815483512955
403,1,403,2726,2724.0601433158695,40300,-0.003699465725021582
404,1,404,2724,2723.690788779904,40400,-0.0036935453596561273
405,1,405,2723,2723.322076734679,40500,-0.0036871204522503833
406,1,406,2723,2722.9540576344016,40600,-0.0036801910027725172
407,1,407,2725,2722.586781933273,40700,-0.0036727570112861942
408,1,408,2723,2722.2203000855006,40800,-0.003664818477723202
409,1,409,2725,2721.854662545287,40900,-0.00365637540213811
410,1,410,2723,2721.4899197668374,41000,-0.003647427784494539
411,1,411,2719,2721.1261222043563,41100,-0.0036379756248106788
412,1,412,2719,2720.763320312047,41200,-0.0036280189230910764
413,1,413,2718,2720.401564544116,41300,-0.0036175576793129947
414,1,414,2719,2720.0409053547655,41400,-0.003606591893503719
