OBJECTID,ORIG_FID,index,elev,smoothed_elev,distance_m,smoothed_slope
326,1,326,2480,2479.3209812859754,32600,-0.004504004270561381
327,1,327,2478,2478.869746012669,32700,-0.004512352733063381
328,1,328,2484,2478.417389309689,32800,-0.004523567029800688
329,1,329,2480,2477.963624593611,32900,-0.004537647160782398
330,1,330,2481,2477.508165281011,33000,-0.0045545931259994175
331,1,331,2476,2477.0507247884652,33100,-0.004574404925456292
332,1,332,2477,2476.5910165325486,33200,-0.004597082559166665
333,1,333,2477,2476.128753929839,33300,-0.004622626027094156
334,1,334,2478,2475.663650396911,33400,-0.004651035329279693
335,1,335,2477,2475.1954193503416,33500,-0.004682310465695992
336,1,336,2475,2474.7237742067064,33600,-0.0047164514363521445
337,1,337,2474,2474.2484283825806,33700,-0.004753458241257249
338,1,338,2474,2473.769637744653,33800,-0.004787906379274318
339,1,339,2472,2473.2879901644787,33900,-0.004816475801744673
340,1,340,2473,2472.803697065938,34000,-0.004842930985405474
341,1,341,2473,2472.316969872909,34100,-0.0048672719302931
342,1,342,2474,2471.8280200092695,34200,-0.00488949863639391
343,1,343,2471,2471.3370588989005,34300,-0.0049096111036897126
344,1,344,2470,2470.8442979656797,34400,-0.004927609332207794
345,1,345,2469,2470.3499486334863,34500,-0.004943493321934511
346,1,346,2469,2469.8542223261998,34600,-0.004957263072865317
347,1,347,2468,2469.3573304676975,34700,-0.004968918585022948
348,1,348,2467,2468.8594844818604,34800,-0.004978459858371025
349,1,349,2467,2468.3608957925658,34900,-0.004985886892945927
350,1,350,2469,2467.861775823694,35000,-0.004991199688715824
351,1,351,2467,2467.362335999123,35100,-0.0049943982457125455
352,1,352,2467,2466.8627877427316,35200,-0.004995482563913356
353,1,353,2465,2466.3633424783993,35300,-0.004994452643322802
354,1,354,2465,2465.8642116300052,35400,-0.004991308483940884
355,1,355,2465,2465.365606621427,35500,-0.004986050085781244
356,1,356,2466,2464.867738876545,35600,-0.004978677448821145
357,1,357,2465,2464.370819819238,35700,-0.004969190573069682
358,1,358,2463,2463.875060873384,35800,-0.0049575894585404965
359,1,359,2462,2463.3806734628624,35900,-0.0049438741052154
360,1,360,2461,2462.887869011552,36000,-0.004928044513103486
361,1,361,2461,2462.396858943333,36100,-0.004910100682191114
362,1,362,2461,2461.9078546820824,36200,-0.004890042612505568
363,1,363,2466,2461.42106765168,36300,-0.004867870304024109
364,1,364,2463,2460.9367092760053,36400,-0.0048435837567467385
365,1,365,2459,2460.4549909789366,36500,-0.0048171829706871
366,1,366,2460,2459.974685843189,36600,-0.004803051357475852
367,1,367,2459,2459.49443646154,36700,-0.004802493816491733
368,1,368,2463,2459.014258522959,36800,-0.0048017793858070945
369,1,369,2457,2458.534167716418,36900,-0.004800908065412841
370,1,370,2458,2458.0541797308856,37000,-0.004799879855322615
371,1,371,2457,2457.5743102553356,37100,-0.004798694755500037
372,1,372,2458,2457.0945749787356,37200,-0.004797352765999676
373,1,373,2457,2456.6149895900576,37300,-0.004795853886780606
374,1,374,2458,2456.135569778273,37400,-0.004794198117847373
375,1,375,2456,2455.6563312323497,37500,-0.004792385459231809
376,1,376,2454,2455.1772896412613,37600,-0.004790415910883894
377,1,377,2454,2454.698460693977,37700,-0.004788289472844554
378,1,378,2455,2454.2198600794677,37800,-0.004786006145091051
379,1,379,2454,2453.7415034867036,37900,-0.004783565927641576
380,1,380,2454,2453.263406604656,38000,-0.004780968820473391
381,1,381,2451,2452.7855851222953,38100,-0.004778214823609232
382,1,382,2450,2452.308054728592,38200,-0.004775303937030913
383,1,383,2450,2451.830831112517,38300,-0.004772236160752072
384,1,384,2451,2451.3539299630406,38400,-0.004769011494763617
385,1,385,2450,2450.877366969134,38500,-0.004765629939065548
386,1,386,2449,2450.401157819767,38600,-0.004762091493671505
387,1,387,2449,2449.9253182039106,38700,-0.0047583961585633
388,1,388,2449,2449.449863810535,38800,-0.004754543933754576
389,1,389,2450,2448.9748103286124,38900,-0.004750534819227142
390,1,390,2448,2448.5001734471116,39000,-0.004746368815008281
391,1,391,2447,2448.025968855004,39100,-0.00474204592107526
392,1,392,2444,2447.5522122412603,39200,-0.0047375661374371705
393,1,393,2446,2447.078919294851,39300,-0.0047329294640940135
394,1,394,2443,2446.6059206650293,39400,-0.004729986298216317
395,1,395,2444,2446.133045619553,39500,-0.004728750454764849
396,1,396,2445,2445.660307775147,39600,-0.004727378444058559
397,1,397,2445,2445.1877207485395,39700,-0.0047258702660747075
398,1,398,2445,2444.7152981564554,39800,-0.004724225920840581
399,1,399,2443,2444.243053615623,39900,-0.004722445408324347
400,1,400,2449,2443.771000742767,40000,-0.004720528728562386
401,1,401,2443,2443.2991531546145,40100,-0.004718475881522863
402,1,402,2441,2442.8275244678935,40200,-0.004716286867210329
403,1,403,2441,2442.356128299327,40300,-0.004713961685665708
404,1,404,2446,2441.884978265645,40400,-0.00471150033682079
405,1,405,2441,2441.414087983571,40500,-0.0047089028207392405
406,1,406,2441,2440.9434710698342,40600,-0.004706169137366487
407,1,407,2439,2440.4731411411594,40700,-0.004703299286748006
408,1,408,2439,2440.0031118142733,40800,-0.00470029326886106
409,1,409,2440,2439.5333967059028,40900,-0.004697151083705648
410,1,410,2441,2439.0640094327737,41000,-0.004693872731290866
411,1,411,2439,2438.594963611613,41100,-0.00469045821160762
412,1,412,2438,2438.126272859147,41200,-0.004686907524660455
413,1,413,2440,2437.657950792102,41300,-0.004683220670449373
414,1,414,2438,2437.190011027205,41400,-0.004679397648969825
415,1,415,2437,2436.722467181182,41500,-0.004675438460230908
416,1,416,2436,2436.2553328707586,41600,-0.00467134310423262
417,1,417,2436,2435.7886217126634,41700,-0.004667111580952224
418,1,418,2438,2435.322347323621,41800,-0.004662743890421552
419,1,419,2437,2434.856523320359,41900,-0.004658240032622416
420,1,420,2436,2434.391163319603,42000,-0.004653600007559362
421,1,421,2436,2433.9262809380803,42100,-0.0046488238152278425
422,1,422,2434,2433.4618408674155,42200,-0.004644400706647503
423,1,423,2432,2432.9977957117685,42300,-0.004640451556469998
